,lat,lng,floor,floor_total,contractArea,realArea,deposit,gu_dobong,gu_dongdaemun,gu_dongjak,gu_eunpyeong,gu_gangbuk,gu_gangdong,gu_gangnam,gu_gangseo,gu_guemcheon,gu_guro,gu_gwanak,gu_gwangjin,gu_jongno,gu_jung,gu_jungnang,gu_mapo,gu_nowon,gu_seocho,gu_seodaemun,gu_seongbuk,gu_seongdong,gu_songpa,gu_yangcheon,gu_yeongdeungpo,gu_yongsan,direction_남동향,direction_남서향,direction_남향,direction_동향,direction_북동향,direction_북서향,direction_북향,direction_서향,distance,floor_rate,area_rate
44,37.65502,127.04118,1,4,20,20,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17557.361946992798,0.25,1.0
45,37.563558,127.068818,4,4,19,19,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17557.505397536486,1.0,1.0
46,37.566028,127.064454,3,4,20,19,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17556.581930014898,0.75,0.95
47,37.563711,127.061944,2,3,24,24,4000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17555.769997150655,0.6666666666666666,1.0
48,37.563826,127.064737,6,6,38,29,10000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17556.48841263744,1.0,0.7631578947368421
49,37.572682,127.059951,3,4,30,30,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17555.937580795526,0.75,1.0
50,37.575059,127.040719,2,3,23,23,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17551.22934289044,0.6666666666666666,1.0
51,37.598889,127.061454,6,7,40,30,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17558.28954662844,0.8571428571428571,0.75
52,37.576963,127.041651,3,3,21,18,5000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17551.609237109173,1.0,0.8571428571428571
53,37.575107,127.040913,2,3,23,19,1500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17551.28224193502,0.6666666666666666,0.8260869565217391
54,37.572682,127.059951,3,4,30,30,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17555.937580795526,0.75,1.0
55,37.562878,127.063192,3,7,18,15,4000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17556.02456487175,0.42857142857142855,0.8333333333333334
56,37.575391,127.048162,2,3,14,14,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17553.145476381127,0.6666666666666666,1.0
57,37.579267,127.075437,3,3,60,43,3000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17560.36799699826,1.0,0.7166666666666667
58,37.577505,127.050808,3,4,36,36,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17553.97669547789,0.75,1.0
59,37.563826,127.064737,5,6,38,28,10000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17556.48841263744,0.8333333333333334,0.7368421052631579
60,37.563711,127.061944,3,5,26,26,8000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17555.769997150655,0.6,1.0
61,37.563711,127.061944,4,4,35,33,4000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17555.769997150655,1.0,0.9428571428571428
